               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.014457,           0.0077883,           0.0014932,              0.9075,             0.83024,             0.96162,              0.6796,            0.028058,           0.0045356,            0.027845,            0.005677,            0.005677,            0.005677
                 133,            0.014414,           0.0078177,           0.0020945,             0.90832,             0.83114,             0.96254,              0.6794,            0.028107,           0.0045394,            0.027973,            0.005644,            0.005644,            0.005644
                 134,            0.014765,           0.0077926,           0.0016428,             0.90696,             0.83083,             0.96213,             0.67826,            0.028158,           0.0045408,            0.028142,            0.005611,            0.005611,            0.005611
                 135,             0.01454,           0.0077811,           0.0017525,             0.90831,             0.82999,             0.96186,             0.67852,            0.028156,            0.004542,            0.028356,            0.005578,            0.005578,            0.005578
                 136,            0.015092,            0.007934,           0.0018171,             0.90817,             0.82993,              0.9615,             0.67816,            0.028177,           0.0045445,            0.028458,            0.005545,            0.005545,            0.005545
                 137,            0.015019,           0.0079648,           0.0023666,             0.90921,             0.82997,             0.96113,             0.67846,            0.028174,           0.0045442,            0.028541,            0.005512,            0.005512,            0.005512
                 138,            0.015046,            0.008007,           0.0024032,             0.90959,             0.82969,             0.96165,             0.67878,            0.028162,           0.0045417,            0.028472,            0.005479,            0.005479,            0.005479
                 139,            0.014595,           0.0078631,           0.0020939,             0.90999,             0.83012,             0.96193,             0.67927,            0.028168,           0.0045406,             0.02847,            0.005446,            0.005446,            0.005446
                 140,            0.014499,           0.0077988,           0.0015385,             0.90868,             0.83011,             0.96194,              0.6789,            0.028169,           0.0045399,            0.028572,            0.005413,            0.005413,            0.005413
                 141,            0.014692,           0.0078768,           0.0019389,             0.90954,             0.82929,             0.96183,             0.67942,            0.028173,           0.0045401,            0.028548,             0.00538,             0.00538,             0.00538
                 142,            0.014919,           0.0078946,           0.0019283,             0.90865,             0.83136,             0.96193,              0.6797,            0.028169,           0.0045406,            0.028561,            0.005347,            0.005347,            0.005347
                 143,            0.014798,           0.0078744,           0.0019746,             0.90922,             0.82926,             0.96168,             0.67938,            0.028174,            0.004541,            0.028687,            0.005314,            0.005314,            0.005314
                 144,            0.014551,           0.0078863,           0.0021446,             0.91054,             0.82804,             0.96145,              0.6795,            0.028185,           0.0045407,            0.028876,            0.005281,            0.005281,            0.005281
                 145,             0.01453,           0.0076654,           0.0013871,             0.91111,             0.82765,             0.96133,             0.67919,            0.028173,            0.004541,            0.029002,            0.005248,            0.005248,            0.005248
                 146,            0.014418,           0.0077331,           0.0017436,             0.91146,             0.82466,             0.96136,             0.67875,            0.028173,           0.0045412,             0.02902,            0.005215,            0.005215,            0.005215
                 147,            0.014184,           0.0077812,           0.0013586,             0.91156,             0.82194,             0.96086,             0.67877,            0.028184,           0.0045416,            0.029066,            0.005182,            0.005182,            0.005182
                 148,            0.014934,           0.0077897,           0.0024767,             0.91164,             0.82183,             0.96063,              0.6783,            0.028197,           0.0045426,            0.029104,            0.005149,            0.005149,            0.005149
                 149,             0.01402,           0.0078321,           0.0020549,             0.91228,             0.81993,              0.9607,             0.67864,            0.028207,           0.0045428,            0.029175,            0.005116,            0.005116,            0.005116
                 150,            0.014495,           0.0077853,           0.0020739,             0.91255,             0.82121,             0.96062,             0.67821,            0.028229,           0.0045418,            0.029234,            0.005083,            0.005083,            0.005083
                 151,             0.01469,           0.0078283,           0.0019624,             0.91294,              0.8186,             0.96079,             0.67886,            0.028242,           0.0045422,            0.029149,             0.00505,             0.00505,             0.00505
                 152,            0.014285,           0.0077078,           0.0018576,             0.91342,             0.81914,             0.96089,               0.679,            0.028259,           0.0045428,            0.029129,            0.005017,            0.005017,            0.005017
                 153,            0.014106,           0.0075816,            0.001333,               0.914,             0.81966,             0.96093,             0.67794,            0.028286,           0.0045435,            0.029114,            0.004984,            0.004984,            0.004984
